12,Pebblely,Pebblely,Image,"AI Product Image Generator, Background Removal & Enhancement","Text, Image",Image,"An Ai designed to transform plain product photos into polished marketing visuals by removing backgrounds, generating realistic scenes, adding reflections and shadows, and enabling post-generation edits like resizing, object removal, logo overlay, and bulk generation",Freemium,Beginner,"Web, API, Plugin (Shopify)",English,4.1,Medium,Not Available,Fast,E-commerce Product Photography & Visual Marketing,https://pebblely.com/,
13,Cursor,Anysphere,"Code, Developer Tools","AI-powered Code Editor / IDE, Code Completion","Keyboard input, Text prompts, Code context (existing code files)","Autocompleted code, multi-line edits, natural-language-coded changes, chat-guided coding responses","Integrated AI coding assistant built on a fork of VS Code, offering autocomplete, refactoring, natural language editing, codebase reasoning, agent-mode operations, and privacy-conscious development workflows",Freemium,Developer,"Desktop app, API",English,4.75,High,90-99%,Fast,Software Codebases & Development Workflows,https://cursor.com/,
14,Mistral,Mistral AI,"Text, Code","Q&A, Reasoning, Summarization, Coding",Text,"Text, Code","Open-weight LLMs (Mistral 7B, Mixtral) optimized for reasoning, summarization, and code tasks.",Open Source,"Intermediate, Expert","API, Local Deployment",Multilingual,4.5,Medium,80-92%,Fast,"General, Coding",https://mistral.ai, 
15,LLaMA,Meta AI,Large Language Model,Open-Source NLP Models,Text,Text,"Meta’s family of open-source LLMs for research, reasoning, and general NLP tasks",Free,Intermediate ,"API, Research Platforms",Multilingual,4.4,"Medium, High",80-90%,Medium,"Academic NLP, Research & Open-Source Development",https://ai.meta.com/llama,
16,RelumeAI,Relume,Website Design / Web Development Tool,"AI Site Builder — Sitemap, Wireframe, Style Guide Generation",Text,"Sitemap, Wireframe, Style Guide, Exported Components","An AI-powered design ally — generates structured sitemaps and wireframes from text prompts, infills them with real components (unstyled), and allows customization and export to Figma, Webflow, or React for further refinement",Freemium,"Intermidiate, Developer","Web, Plugin (Figma plugin, Webflow/React components export)",English,4.6,High,NULL,Fast,Web Design / UI/UX / Marketing Websites,https://www.relume.io/,
17,Khroma,Digital Maagic,Design / Color Palette Generator,AI-powered Color Palette Generation Tool,Color preferences (selection of 50 colors),"Personalized color palettes (typography, gradients, images, CSS code, etc.)",Learns user-selected colors to train AI and generate endless personalized color palettes.,Freemium,Beginner,Web,English,4.1,High,96-99%,"Medium, Fast",Color Theory / Design Algorithms,https://www.khroma.co/,
18,CharacterAI,Character Tech,Conversational AI,Roleplay & Personality Bots,Text,Text,"Lets users chat with AI characters that mimic personalities for roleplay, companionship, Q&A",Freemium,Beginner,Web,Multilingual,4.3,High,75-85%,Fast,Conversational Simulation & Roleplay AI,https://character.ai,
19,NotionAI,Notion Labs,Productivity AI,"Document Writing, Summarization, Workflow","Text, Notes","Text ,Summarise","Integrated into Notion for auto-summaries, content writing, brainstorming, and task automation.",Freemium,Beginner,"Notion App, Web",Multilingual,4.4,"Medium, High",80-88%,Fast,"Productivity, Knowledge Management, Note-Taking",https://www.notion.so/product/ai,
20,Magnific ,Freepik,Image Upscaling and Enhancement Tool,"AI-powered Image Upscaler & Enhancer with sliders (Creativity, HDR, Resemblance)","Image upload (various formats like JPG, PNG, WebP)",High-resolution enhanced images (up to 16× original); includes detail refinement and texture enhancement through AI,"Enhances image resolution with added detail using AI, guided by user-controlled sliders like Creativity, HDR, and Resemblance.",Paid,"Beginner, Intermediate","Web, ",English,4.13,"Medium, High",95%,Fast,Image Enhancement / Super-Resolution AI,https://magnific.ai/,
21,RunwayML,Runway,Generative AI,"Video Editing, Text-to-Video, AI Effects","Text, Video","Video, Image","AI for video editing: removes backgrounds, generates videos from text, adds effects, edits footage.",Freemium,Beginner,"Web App, API",Multilingual,4.6,Rising,80-90%,Medium,"Video Editing, Generative Video, Creative Media",https://runwayml.com,
22,Synthesia,Synthesia,Generative AI (Video),"AI Avatars, Corporate Training Videos",Text Script,Video,Converts written scripts into professional videos with AI avatars for corporate training & presentations.,Paid,Beginner,Web Platform,Multilingual,4.5,High,85-90%,Medium,"E-learning, Corporate Training, Marketing Videos",https://www.synthesia.io,
23,GoogleAIStudio,Google,AI Development / Prototyping Platform,Web-based IDE for prototyping with Gemini models,"Text, image, video, prompts (multimodal)","AI-generated text, images, code snippets, model prompts","Enables prototyping, prompt engineering, model experimentation with Gemini; includes code export and API key generation",Freemium,"Intermediate, Developer","Web, API, Plugin, SDK",Multilingual,4.2,High,NULL,Fast,Multimodal AI / Language & Vision (Gemini-based),https://aistudio.google.com/,
24,VEED.IO,Veed Limited,"Video, Audio, Automation","Video Editing, AI Video Generation, Transcription & Subtitling, Screen Recording, Video Hosting, Text-to-Speech","Video, Audio, Image, Text","Video (MP4), Audio (MP3), Text","An all-in-one browser-based video editor for marketers, creators, and businesses, combining a timeline editor with AI tools like auto-subtitling, noise removal, eye contact correction, and text-to-video to make pro-level production fast and easy for non-editors.",Freemium,Beginner,"Web, API",Multilingual,4.9,High,98.50%,Medium,Videos,https://www.veed.io,
25,Typefully,Typefully,"Text, Automation, Data","Social Media Management, AI Writing Assistant, Content Scheduling, Analytics","Text, Image, Video","Text (Formatted Social Media Posts), Data (Analytics Reports)","A minimalist writing and scheduling platform for X and LinkedIn, offering a distraction-free space for complex threads, AI-powered idea generation and rewriting, automated posting, and detailed analytics for engagement and growth.",Freemium,Beginner,"Web, API",Multilingual,4.6,Medium,NULL,Fast,Social media content writing,https://typefully.com,
26,Gamma,Gamma Tech,"Text, Image, Automation, Data","Presentation Generation, Document Creation, AI Writing Assistant, Web Page Builder, Analytics",Text,Presentation,"An AI-powered platform for creating presentations, documents, and webpages from text prompts, using a fluid card-based format as an alternative to slides. It auto-generates design, layout, and content, letting users focus on refining their message.",Freemium,Beginner,"Web, API",Multilingual,4.8,High,NULL,Fast,Presentations,https://gamma.app,
27,ElevenLabs,Eleven Labs,"Speech, Voice AI, Audio","AI Voice Platform for Text-to-Speech, Voice Cloning (Instant & Professional), Voice Design, AI Dubbing Studio, Speech-to-Text, Voice Isolator, Multilingual Conversational Agents",Text input and voice samples (for cloning),"Lifelike synthetic speech (MP3/WAV), voice clones, dubbing output","Provides ultra-realistic TTS that understands context, emotion, prosody, and intonation; supports instant voice cloning from short clips (1–5 min) and professional cloning from longer datasets; enables voice customization via voice design; offers AI dubbing that retains speaker identity across languages; includes speech-to-text transcription, voice isolation, and support for real-time conversational agents through low-latency models.",Freemium,Intermidiate,"Web, API, SDK",Multilingual,4.83,High,95-98%,Fast,"Speech Synthesis, Voice Cloning, Emotion-Aware AI Speech",https://elevenlabs.io/,
28,tl;dv,tl;dv.io,AI Meeting Intelligence / Note Taker,"AI-powered meeting assistant: recording, transcription, timestamping, video clipping, summarization, multi-meeting insights, AI coaching & CRM automation","Live virtual meeting audio/video (Zoom, Google Meet, Teams); uploaded recordings","Transcripts with speaker IDs, AI-generated summaries, timestamped highlight clips, multi-meeting insights, email drafts, CRM updates","Auto-records virtual meetings, generates speaker-attributed transcripts (>90 % accuracy), summarizes with key points and action items, timestamps key moments and clips, integrates with CRMs and workflow tools, offers multi-meeting trend reports and AI coaching insights",Freemium,"Beginner, intermediate","Web, API, Plugin",Multilingual,4.63,High,>90%,Fast,"Speech Recognition, Natural Language Processing, Conversational Intelligence, Meeting Analytics",https://tldv.io/,
29,MurfAI,Murf Inc.,Audio,AI Voiceovers For Business,Text,Audio,"Creates studio-quality voiceovers for ads, presentations, and e-learning",Freemium,Beginner,"Web, API",Multilingual,4.4,Medium,85-90%,Medium-Fast,"Voiceovers, Corporate Communication",https://murf.ai,
30,KlingAI,Kuaishou Technology,Video & Image Generative AI,"Text-to-Video, Image-to-Video, Video Extension, Scene Editing with motion brush, Style Transfer, Neural Style Transfer","Text prompts, still images","High-resolution videos (up to 1080p, up to 5 minutes), animated visuals with camera control, TTS-backed audio","Generates realistic video from prompts/images (text-to-video, image-to-video), allows editing via motion brush & camera control, applies style transfer, extends video duration, and adds audio/TTS components intelligently",Freemium,"Beginner, intermediate","Mobile App, Web, API",English,4.4,Medium,92-96%,Medium-Fast,"Video generation (diffusion-transformer models, 3D VAE), Neural Style Transfer, Multimodal AI",https://www.klingai.com/,
31,ScribeAI,ScribeAI,Productivity AI,SOP & Workflow Documentation,"Actions, Screens","Docs, Guides",Captures your screen & clicks to auto-generate SOPs and training docs,Freemium,Beginner,"Chrome Extension, Web App",English,4.3,Medium,80-85%,Fast,"Business Processes, Training Docs",https://scribehow.com,
32,Play.ht,Play.ht,Audio AI,Text-to-Speech & Audiobooks,Text,Audio,Converts text into natural-sounding voiceovers for podcasts & audiobooks,Freemium,Beginner,"Web ,API",Multilingual,4.5,Medium,88-92%,Fast,"Text-to-Speech, Audiobook Narration",https://play.ht,
33,Gemini,Google,Multimodal AI Assistant / Large Language Model Platform,"Multimodal LLMs (Ultra, Pro, Flash, Nano); Integrated AI assistant across Workspace apps, Search, tools like Deep Research, Gemini Live, Vids, Veo video generation, Canvas document editing","Text, images, code, audio, video, Search context, files, multimodal prompts","Text responses, images (via Imagen 4), video clips (via Veo), summaries, code generation, brainstorming content, calendar and email drafts, research reports, AI-crafted storybooks","A powerful multimodal AI that responds across text, code, image, audio, and video; powers intelligent features in Google Workspace apps (Docs, Sheets, Gmail, Slides, Search, Calendar); enables Deep Research, real-time conversations (Gemini Live), creative outputs (Canvas, Storybook), and multiplatform task execution",Freemium,"Beginner, Intermediate, Developer","Web, API, Mobile App, Extensions",Multilingual,4.5,High,>90%,Fast,"Multimodal large-scale LLMs for reasoning, coding, multimodal understanding; trained on diverse modalities via TPUs; fine-tuned for interactive tasks and creative workflows",https://gemini.google.com/,
34,AIVA,AIVA Technologies,Music AI,Classical/Background Music Composition,"Text , MIDI",Music Composition,"AI composer for orchestral, classical, and cinematic background scores",Freemium,Beginner,"Web, API",Multilingual,4.2,Medium,80-88%,Medium,Classical Music Theory & Compositions,https://www.aiva.ai,
35,SunoAI,Suno Inc.,Music AI,AI Song & Music Generation,Text,Music (Full Song),Creates complete songs (lyrics + vocals + instrumentals) from text prompts,Freemium,Beginner,"Web, Discord",English,4.5,High,82-90%,Medium,Music Generation (Lyrics + Instrumentals),https://suno.ai,
36,Pika Labs,Pika AI,Video AI,"Text-to-Video, Animation",Text,Short Video Clips,Generates creative short videos and animations from text prompts,Freemium,Beginner,"Web, API",English,4.4,Rising,75-85%,Medium,Video Generation & Animation,https://pika.art,
37,Fathom,Fathom Video,Meeting AI,AI-Powered Meeting Highlights,"Audio, Video","Transcript, Highlights","Automatically records, transcribes, and highlights meetings",Freemium,Beginner,"Zoom, Google Meet, Teams",English,4.4,Medium-High,82-90%,Fast,Meeting Recording & Productivity,https://fathom.video,
39,GitHub Copilot,GitHub,Code,Context-Aware Code Autocompletion,Text,Code,"AI pair programmer integrated in IDEs that generates context-aware code completions, suggests idiomatic solutions, and explains unfamiliar functions. Helps developers prototype faster and reduce repetitive coding.",Paid,Developer,"Plugin, API",English,4.7,High,90%,Fast,Programming,https://github.com/features/copilot,
40,OpusClip,Opus,Video,AI Video Repurposing & Social Clipping,Video,Short Clips,"AI-powered platform that detects key highlights in long-form videos and automatically repurposes them into short, social-media-friendly clips with captions, transitions, and engagement optimization.",Freemium,Beginner,Web,English,4.5,High,82%,Fast,Video Editing,https://www.opus.pro/,
41,Canva Magic Studio,Canva,Design,AI-Powered Creative Design Suite,Text/Image,Designs,"AI suite inside Canva that generates designs, layouts, images, and videos from text prompts. Provides automated branding consistency and multimodal creative support for marketers, creators, and businesses.",Freemium,Beginner,"Web, Mobile App",Multilingual,4.7,High,88%,Fast,Design,https://www.canva.com/magic-studio/,
42,Replit Ghostwriter,Replit,Code,Integrated AI Code Assistant,Text,Code,"AI coding companion built into Replit IDE offering inline completions, code refactoring, debugging, and explanations. Aimed at both students learning to code and developers looking for productivity boosts.",Paid,Developer,"Web, Plugin",English,4.6,High,87%,Fast,Programming,https://replit.com/ghostwriter,
43,Freepik AI,Freepik,Design,Stock-Style Image Generation,Text,Images,"AI system for generating high-quality, stock-style illustrations and images tailored to commercial and editorial needs. Allows customization of design elements for brand-specific assets.",Freemium,Beginner,Web,Multilingual,4.4,Medium,80%,Fast,Design,https://www.freepik.com/ai,
44,Eclipse Theia AI,Eclipse Foundation,Code,Cloud IDE with AI Code Assistance,Text,Code,"Cloud-based development environment extended with AI code suggestions, completion, and analysis. Enables distributed teams to collaborate on codebases with AI productivity support.",Free,Developer,"Web, SDK",English,4.3,Medium,78%,Medium,Programming,https://theia-ide.org/,
45,Vibecode,Vibecode,Code,Lightweight AI Coding Assistant,Text,Code,"Minimal AI assistant that integrates into editors to provide inline coding help, autocompletions, and small-scale bug detection. Focused on speed and simplicity for individual developers.",Freemium,Beginner,"Web, Plugin",English,4,Low,74%,Medium,Programming,https://vibecode.com/,
46,Qodo,Qodo,Code,AI-Driven Code Review & Suggestion Tool,Text,Code,"AI tool that provides inline code review comments, style corrections, and security issue detection. Supports collaborative coding by highlighting potential issues before deployment.",Freemium,Intermediate,"Web, Plugin",English,4.1,Low,75%,Medium,Programming,https://qodo.ai/,
47,Tabnine,Codota,Code,Predictive Code Autocompletion Engine,Text,Code,Predictive AI model that learns developer patterns to autocomplete code intelligently across multiple programming languages. Optimized for enterprise adoption and IDE integration.,Freemium,Developer,"Plugin, API",Multilingual,4.6,High,89%,Fast,Programming,https://www.tabnine.com/,
48,Codiga,Codiga,Code,Automated Code Review & Refactoring,Text,Code Suggestions,"AI tool providing automatic code reviews, linting, and refactoring recommendations. Ensures adherence to best practices and coding standards, reducing human code review time.",Freemium,Intermediate,"Plugin, API",English,4.3,Medium,81%,Medium,Programming,https://www.codiga.io/,
49,DeepCode AI,Snyk,Code,Bug Detection & Security Vulnerability Scan,Text,Code Feedback,"Advanced AI trained on millions of repositories to detect bugs, vulnerabilities, and anti-patterns. Suggests security-focused code fixes to reduce risk in production deployments.",Paid,Developer,"Plugin, API",English,4.5,Medium,90%,Fast,Programming,https://snyk.io/developer-tools/,
50,Sourcegraph Cody,Sourcegraph,Code,AI Codebase Search & Chat,Text,Code/Answers,"AI tool enabling semantic search and Q&A over large codebases. Allows developers to query repositories in natural language and receive code references, summaries, and examples.",Freemium,Intermediate,"Web, Plugin, API",English,4.4,Medium,86%,Fast,Programming,https://about.sourcegraph.com/cody,
51,Figstack,Figstack,Code,Code Explanation & Language Translation,Text,Explanation,"AI platform that explains, documents, and translates code across multiple languages. Supports learning by breaking down code into natural language explanations with contextual examples.",Freemium,Beginner,Web,English,4.2,Low,78%,Fast,Programming,https://www.figstack.com/,
52,IntelliCode,Microsoft,Code,Enhanced IntelliSense AI Suggestions,Text,Code,Microsoft’s AI extension for Visual Studio that augments IntelliSense with intelligent suggestions based on open-source repositories and developer context. Tailored for enterprise coding workflows.,Free,Developer,Plugin,English,4.6,High,88%,Fast,Programming,https://visualstudio.microsoft.com/services/intellicode/,
53,CodeGeeX,THUDM,Code,Multilingual Code Generation Model,Text,Code,Large-scale multilingual AI model designed for code generation and completion. Supports multiple programming languages and contextual awareness for developers across regions.,Free,Developer,"API, Plugin",Multilingual,4.4,Medium,84%,Medium,Programming,https://codegeex.cn/,
54,Cline,Cline,Code,VS Code AI Development Agent,Text,Code,"Open-source dev agent integrated into VS Code that provides smart completions, debugging, and workflow automation. Designed for developers who want transparent and customizable AI coding support.",Free,Developer,Plugin,English,4.3,Low,76%,Medium,Programming,https://cline.bot/,
55,Nyota,Nyota,Code,Team-Oriented AI Coding Assistant,Text,Code,"Collaborative AI coding assistant that supports team development workflows by suggesting improvements, managing snippets, and aligning with shared style guides.",Freemium,Intermediate,"Web, Plugin",English,4.2,Low,77%,Medium,Programming,https://nyota.ai/,
56,Google Veo,Google,Video,Text-to-Video Generation Model,Text,Video,"Advanced generative video AI that converts text prompts into realistic cinematic video clips. Targets creative professionals for marketing, film, and entertainment applications.",N/A,Intermediate,"API, Web",English,4.6,High,91%,Medium,Video,https://deepmind.google/,
57,Manus AI,Manus,Productivity & Workflow,AI-Powered Writing & Editing Assistant,Text,Text,"Writing assistant that improves clarity, grammar, and tone while offering suggestions for style enhancement. Positioned as a productivity booster for professionals and academics.",Freemium,Beginner,"Web, Plugin",Multilingual,4.5,Medium,83%,Fast,Writing,https://manus.ai/,
58,Deep Research,xAI,Research,Web-Connected AI Research Assistant,Text,Summaries,"Research-focused assistant that crawls and synthesizes information from the web to answer complex multi-step questions. Helps analysts, students, and professionals save research time.",Free,Intermediate,"Web, API",English,4.4,Medium,85%,Fast,Research,https://x.ai/,
59,NotebookLM,Google,Research,AI-Powered Knowledge Notebook,Text,Notes/Summaries,"AI research notebook that ingests documents, organizes them, and generates structured summaries. Provides reasoning support for students, analysts, and researchers working with large volumes of text.",Free,Intermediate,"Web, API",English,4.5,Medium,86%,Medium,Research,https://notebooklm.google/,
60,Fireflies,Fireflies.ai,Productivity & Workflow,AI Meeting Recorder & Summarizer,Audio,Transcripts,"AI assistant for meetings that records audio, generates searchable transcripts, extracts key points, and creates action items. Works with Zoom, Google Meet, and MS Teams.",Freemium,Beginner,"Web, Plugin, API",Multilingual,4.6,High,90%,Fast,Meetings,https://fireflies.ai/,
61,Avoma,Avoma,Productivity & Workflow,AI Meeting Insights & Collaboration Platform,Audio,Notes/Insights,"Enterprise-grade AI meeting assistant that not only records and transcribes but also provides deal intelligence, coaching insights, and workflow integration for sales and product teams.",Paid,Enterprise,"Web, API",English,4.5,Medium,88%,Medium,Meetings,https://www.avoma.com/,
62,Gumloop,Gumloop,Automation,Visual AI Workflow Builder,Text,Automations,"No-code AI workflow automation platform where users can visually build pipelines that connect APIs, models, and data sources. Targeted at small businesses and non-developers.",Freemium,Beginner,Web,English,4.3,Low,78%,Medium,Automation,https://www.gumloop.com/,
63,DeepBrain,DeepBrain,Video,AI Avatar Video Generator,Text,Talking Avatars,"Generates lifelike AI avatar videos from text scripts, suitable for e-learning, corporate training, and marketing. Offers voice sync, lip sync, and multilingual avatar customization.",Paid,Intermediate,"Web, API",Multilingual,4.5,Medium,87%,Medium,Video,https://www.deepbrain.io/,
64,Ideogram AI,Ideogram,Design,AI Art & Typography Generator,Text,Images,"AI creative design tool that generates visually rich artwork and integrates custom typography into text-to-image results. Often used for branding, creative posters, and unique social media visuals.",Free,Beginner,Web,Multilingual,4.6,High,89%,Fast,Design,https://ideogram.ai/,
65,Anyword,Anyword,Marketing,AI Marketing Copy Generator,Text,Marketing Copy,"AI-powered platform that generates persuasive and brand-consistent ad copy for social media, email, and landing pages. Uses predictive analytics to improve conversion rates.",Paid,Beginner,"Web, API",English,4.5,High,91%,Fast,Marketing,https://anyword.com/,
66,Writer,Writer,Writing,Enterprise Writing Assistant,Text,Text/Corrections,"AI platform for businesses that enforces brand style guides, checks grammar, and suggests rewrites. Focused on maintaining compliance and consistency in enterprise communication.",Paid,Enterprise,"Web, Plugin, API",English,4.4,Medium,84%,Fast,Writing,https://writer.com/,
67,ProWritingAid,Orpheus Tech,Writing,Grammar & Style Analysis,Text,Text/Reports,"Comprehensive grammar checker that also analyzes writing style, readability, and structure. Popular among authors, students, and professionals for polishing long-form content.",Freemium,Beginner,"Web, Plugin",English,4.5,High,88%,Fast,Writing,https://prowritingaid.com/,
68,Buffer,Buffer,Marketing,Social Media Management & Scheduler,Text,Scheduled Posts,"Social media management platform enhanced with AI that helps craft, optimize, and schedule posts across multiple platforms. Offers analytics for engagement tracking.",Freemium,Beginner,"Web, API, Mobile App",Multilingual,4.6,High,89%,Fast,Marketing,https://buffer.com/,
69,FeedHive,FeedHive,Marketing,AI Social Content Generator,Text,Social Posts,"AI-based content creation tool for social platforms. Generates ideas, repurposes posts, and suggests hashtags optimized for engagement.",Freemium,Beginner,Web,English,4.4,Medium,83%,Fast,Marketing,https://feedhive.io/,
70,Reclaim,Reclaim.ai,Productivity & Workflow,AI Calendar & Task Optimizer,Text,Calendar Events,"Smart productivity app that automatically prioritizes tasks, schedules meetings, and reserves focus time. Helps professionals maintain work-life balance with adaptive calendar AI.",Freemium,Beginner,"Web, Plugin",English,4.5,Medium,85%,Fast,Productivity,https://reclaim.ai/,
71,Clockwise,Clockwise,Productivity & Workflow,Intelligent Calendar Scheduling,Text,Schedules,AI-powered smart calendar that optimizes meeting times and reduces conflicts. Provides analytics on time usage for individuals and teams.,Freemium,Beginner,"Web, Plugin",English,4.4,Medium,84%,Medium,Productivity,https://www.getclockwise.com/,
72,Tome,Tome,Presentation,Generative AI Presentation Builder,Text,Slides,"AI-first presentation creator that transforms text prompts into structured slide decks with layouts, images, and storytelling flow. Used for pitch decks, reports, and educational slides.",Freemium,Beginner,Web,English,4.5,Medium,86%,Fast,Presentations,https://tome.app/,
73,Beautiful.ai,Beautiful.ai,Presentation,Smart AI Presentation Designer,Text,Slides,"Automated presentation tool with AI-driven design suggestions. Ensures consistent branding, alignment, and visual storytelling across slides.",Freemium,Beginner,Web,English,4.6,High,87%,Fast,Presentations,https://www.beautiful.ai/,
74,Teal,Teal,Career,AI Career & Resume Manager,Text,Portfolios,"Career development platform that organizes job applications, generates resumes, and tracks progress. Uses AI to align resumes with job descriptions.",Freemium,Beginner,Web,English,4.3,Medium,82%,Medium,Career,https://www.tealhq.com/,
75,Kickresume,Kickresume,Career,AI Resume & Cover Letter Builder,Text,Resumes,AI-powered resume and cover letter builder with templates optimized for recruiters. Offers customization tips and job-specific keyword recommendations.,Freemium,Beginner,Web,Multilingual,4.6,High,88%,Fast,Career,https://kickresume.com/,
76,Asana AI,Asana,Productivity & Workflow,AI Project & Task Automation,Text,Tasks/Projects,"AI features inside Asana for automatically assigning tasks, predicting deadlines, and summarizing project updates. Supports large-scale team collaboration.",Paid,Enterprise,"Web, API",English,4.6,High,89%,Medium,Productivity,https://asana.com/,
77,Any.do AI,Any.do,Productivity & Workflow,Smart AI Task Planner,Text,Task Lists,"Personal productivity app with AI features for task prioritization, reminders, and scheduling. Integrates with Google and Outlook calendars for seamless time management.",Freemium,Beginner,"Web, Mobile App",Multilingual,4.4,Medium,83%,Medium,Productivity,https://www.any.do/,
78,Rephrase.ai,Rephrase.ai,Video,AI Avatar Spokesperson Video Generator,Text,Talking Videos,"Creates lifelike AI avatar videos that deliver scripted content. Used by businesses for personalized marketing, training, and communication. Includes voice sync, facial animation, and customization options.",Paid,Intermediate,"Web, API",English,4.3,Medium,82%,Medium,Video,https://www.rephrase.ai/,
79,Otio,Otio,Productivity & Workflow,AI Personal Notes & Task Assistant,Text,Tasks/Notes,"Lightweight AI productivity tool that manages notes, reminders, and task lists. Provides simple prioritization and organization features for individuals.",Freemium,Beginner,"Web, Mobile App",English,4.2,Low,76%,Medium,Productivity,https://www.otio.ai/,
80,Caption My Photos,Caption My Photos,Social Media,AI Photo Caption Generator,Image,Captions,"AI system that generates context-aware captions for uploaded photos. Designed for social media creators who need fast, engaging content for Instagram, Facebook, and other platforms.",Freemium,Beginner,Web,English,4.2,Medium,78%,Fast,Social Media,https://captionmyphotos.com/,
81,Logomark AI,Logomark,Design,AI Logo Generator,Text,Logos,"Generates brand-specific logos from text prompts. Allows customization of styles, colors, and typography for businesses and startups seeking unique branding assets.",Freemium,Beginner,Web,Multilingual,4.5,Medium,85%,Fast,Design,https://logomark.ai/,
82,Voice.ai,Voice.ai,Audio,Real-Time Voice Changer,Audio,New Voice,"Real-time voice transformation tool that modifies a user’s voice into various styles and identities. Popular in gaming, streaming, and social communication.",Freemium,Intermediate,"Desktop App, Web",English,4.3,Medium,81%,Fast,Audio,https://voice.ai/,
83,Luma AI,Luma Labs,3D/Video,AI 3D Capture & Reconstruction,Image/Video,3D Models,"Converts videos and photos into photorealistic 3D models. Useful for product design, AR/VR applications, and creative industries requiring fast 3D asset generation.",Freemium,Intermediate,"Web, API",Multilingual,4.5,High,88%,Medium,3D/AR/VR,https://lumalabs.ai/,
